#{"t_start": 1775412610.25416, "env_id": "None"}
r,l,t,raw_score,sequence_length
119.85204,8,19547.991309,1.1985204261152658,8
111.42024,32,19583.117275,1.1142024319016999,32
117.86051,8,19618.376604,1.1786051247515972,8
84.2289,4,19654.855843,0.8422889345325105,4
119.88544,4,19691.416035,1.1988544038339595,4
119.68815,16,19729.125917,1.196881508222911,16
103.34315,32,19765.856465,1.0334314518819285,32
0.0,4,19765.86874,0.0,4
119.711754,8,19801.220203,1.1971175755536814,8
90.95397,4,19835.203865,0.9095397029200475,4
59.85044,8,19871.51276,0.5985044184746694,8
0.0,32,19906.641826,0.0,32
112.136696,8,19942.2921,1.1213669604423915,8
91.81495,4,19978.207571,0.9181494544260761,4
110.77336,8,20014.473299,1.1077335925901581,8
112.019455,4,20051.42894,1.120194513425895,4
0.0,8,20051.468532,0.0,8
119.98055,4,20087.675669,1.1998054972529593,4
110.56915,32,20123.840579,1.105691521650594,32
52.497826,16,20159.353699,0.5249782411380475,16
78.695816,8,20194.082341,0.7869581416975008,8
0.0,4,20231.192628,0.0,4
71.342316,16,20267.801913,0.7134231259778018,16
102.35308,32,20305.143651,1.0235308070298643,32
101.87967,8,20340.345465,1.0187966596777,8
106.06347,16,20377.073657,1.0606346564492173,16
52.616505,8,20414.078265,0.5261650527247759,8
31.05748,32,20450.17881,0.31057479620858314,32
104.080444,16,20486.401676,1.040804477752288,16
83.71032,4,20523.398538,0.8371031659915351,4
83.39883,8,20558.536175,0.8339883018065486,8
119.79741,8,20594.815223,1.1979740789909528,8
87.61265,32,20631.866024,0.8761264604477565,32
0.0,4,20631.884925,0.0,4
119.99777,4,20668.134058,1.1999777204177362,4
100.84657,32,20704.750162,1.008465715440392,32
90.84378,16,20740.980294,0.9084377699824264,16
0.0,4,20741.005792,0.0,4
119.94959,8,20776.828876,1.1994959110034236,8
108.92773,32,20814.462425,1.0892772950357892,32
90.437614,32,20850.125686,0.9043761200379845,32
108.97115,32,20887.265399,1.0897115677408327,32
73.71635,8,20924.01497,0.7371634520462368,8
108.34038,16,20961.219633,1.083403806954766,16
